duration,start_date,start_station_id,end_date,end_station_id,bike_id,subscription_type,zip_code
139901,03/14/2016 12:59:50,17,03/16/2016 03:51:31,3,228,Subscriber,90279
103202,07/17/2016 16:33:49,25,07/18/2016 21:13:51,22,193,Subscriber,90459
99369,05/29/2016 09:31:54,17,05/30/2016 13:08:03,7,290,Customer,58692
23826,12/07/2016 12:18:06,7,12/07/2016 18:55:12,16,410,Subscriber,27964
88743,03/25/2016 21:43:23,3,03/26/2016 22:22:26,15,294,Subscriber,43805
109230,11/27/2016 16:40:19,6,11/28/2016 23:00:49,7,105,Customer,94614
96052,06/05/2016 23:31:45,7,06/07/2016 02:12:37,19,313,Subscriber,13730
150852,02/23/2016 06:27:03,9,02/25/2016 00:21:15,7,469,Customer,26657
19961,12/28/2016 15:47:02,14,12/28/2016 21:19:43,9,86,Customer,55195
29165,01/16/2017 00:21:52,7,01/16/2017 08:27:57,24,159,Subscriber,91560
2006,03/12/2016 05:51:48,17,03/12/2016 06:25:14,5,142,Customer,02299
31253,01/12/2017 00:20:38,8,01/12/2017 09:01:31,18,183,Subscriber,05596
50087,01/29/2017 08:21:21,8,01/29/2017 22:16:08,22,125,Subscriber,13346
85127,06/04/2016 13:33:59,16,06/05/2016 13:12:46,24,328,Subscriber,42890
147068,08/21/2016 16:40:17,7,08/23/2016 09:31:25,11,158,Subscriber,53403
33062,10/02/2016 20:25:26,17,10/03/2016 05:36:28,12,188,Customer,80556
80085,12/27/2016 10:42:39,23,12/28/2016 08:57:24,14,250,Customer,51469
27352,09/19/2016 16:46:51,25,09/20/2016 00:22:43,3,446,Subscriber,61247
136882,06/04/2016 12:01:26,23,06/06/2016 02:02:48,9,229,Subscriber,21246
56436,10/21/2016 20:45:29,18,10/22/2016 12:26:05,8,329,Customer,68975
98586,11/29/2016 11:28:21,15,11/30/2016 14:51:27,19,217,Subscriber,41547
110793,01/29/2017 13:55:38,7,01/30/2017 20:42:11,10,365,Subscriber,17488
89125,10/14/2016 03:10:07,17,10/15/2016 03:55:32,2,61,Subscriber,94668
25671,09/08/2016 14:26:56,14,09/08/2016 21:34:47,12,254,Subscriber,35120
89784,12/18/2016 21:07:51,20,12/19/2016 22:04:15,15,140,Subscriber,18514
27310,09/10/2016 13:24:55,4,09/10/2016 21:00:05,17,140,Customer,84835
161309,05/07/2016 01:50:59,21,05/08/2016 22:39:28,20,117,Customer,02766
81366,07/07/2016 14:51:53,6,07/08/2016 13:27:59,22,49,Subscriber,88429
151166,07/27/2016 17:40:17,24,07/29/2016 11:39:43,25,296,Subscriber,82370
164349,09/17/2016 15:49:39,16,09/19/2016 13:28:48,4,18,Customer,94848
32703,06/24/2016 03:26:38,3,06/24/2016 12:31:41,20,284,Subscriber,45697
115435,05/16/2016 05:26:34,11,05/17/2016 13:30:29,11,14,Customer,02427
67177,04/05/2016 06:10:08,16,04/06/2016 00:49:45,17,4,Customer,32421
133444,11/07/2016 12:36:55,23,11/09/2016 01:40:59,3,303,Customer,04694
41750,12/08/2016 12:09:16,21,12/08/2016 23:45:06,19,9,Subscriber,34299
141076,04/07/2016 02:32:51,24,04/08/2016 17:44:07,17,240,Customer,08815
25650,09/24/2016 06:14:46,4,09/24/2016 13:22:16,1,77,Customer,24453
25032,08/29/2016 05:17:13,13,08/29/2016 12:14:25,20,200,Customer,13631
6577,05/19/2016 19:15:10,15,05/19/2016 21:04:47,3,100,Subscriber,49623
37181,07/22/2016 19:17:21,12,07/23/2016 05:37:02,17,132,Subscriber,04926
13030,06/20/2016 17:31:45,16,06/20/2016 21:08:55,11,266,Customer,73502
156834,05/29/2016 05:11:19,20,05/31/2016 00:45:13,24,253,Customer,64401
136322,07/25/2016 18:58:20,1,07/27/2016 08:50:22,2,318,Subscriber,87318
1880,04/20/2016 11:11:06,23,04/20/2016 11:42:26,25,199,Subscriber,67920
71639,03/17/2016 11:23:13,21,03/18/2016 07:17:12,2,458,Customer,26826
7686,11/21/2016 16:04:37,1,11/21/2016 18:12:43,8,462,Customer,13093
103475,09/04/2016 17:40:16,14,09/05/2016 22:24:51,22,141,Customer,23500
102839,05/22/2016 10:20:59,9,05/23/2016 14:54:58,11,376,Customer,87075
150018,01/03/2017 06:34:31,13,01/05/2017 00:14:49,8,254,Customer,49017
142960,03/02/2016 14:34:34,1,03/04/2016 06:17:14,18,27,Customer,02733
10096,01/02/2017 17:48:08,3,01/02/2017 20:36:24,21,48,Subscriber,02327
41570,03/15/2016 18:02:22,1,03/16/2016 05:35:12,2,481,Subscriber,13162
896,01/08/2017 19:26:08,5,01/08/2017 19:41:04,17,420,Customer,72069
101445,06/01/2016 04:34:43,23,06/02/2016 08:45:28,20,180,Customer,39402
118669,02/28/2016 16:39:51,8,03/01/2016 01:37:40,23,241,Subscriber,78364
24383,02/29/2016 07:45:59,21,02/29/2016 14:32:22,1,344,Subscriber,13600
42371,03/27/2016 07:37:37,12,03/27/2016 19:23:48,5,461,Customer,70028
23211,04/21/2016 07:09:18,22,04/21/2016 13:36:09,20,411,Customer,63239
1808,12/05/2016 04:54:14,9,12/05/2016 05:24:22,20,233,Customer,51479
144765,10/02/2016 13:08:52,15,10/04/2016 05:21:37,20,218,Customer,09899
13181,06/25/2016 03:39:40,10,06/25/2016 07:19:21,9,84,Customer,96639
48207,10/15/2016 17:36:38,23,10/16/2016 07:00:05,12,25,Customer,85353
69339,05/29/2016 04:32:12,23,05/29/2016 23:47:51,19,99,Subscriber,39808
168522,10/24/2016 14:44:16,9,10/26/2016 13:32:58,2,243,Customer,06471
24086,02/12/2016 03:37:41,13,02/12/2016 10:19:07,25,83,Subscriber,10467
111651,01/29/2017 21:38:33,12,01/31/2017 04:39:24,25,185,Customer,91392
816,08/08/2016 12:35:44,15,08/08/2016 12:49:20,13,485,Subscriber,42159
28082,12/23/2016 12:53:36,13,12/23/2016 20:41:38,21,299,Subscriber,59593
25696,03/24/2016 18:57:46,3,03/25/2016 02:06:02,5,227,Customer,51130
162084,06/09/2016 01:47:01,1,06/10/2016 22:48:25,11,431,Subscriber,94117
163290,04/30/2016 18:53:10,17,05/02/2016 16:14:40,25,463,Customer,33138
152831,02/16/2016 13:16:41,12,02/18/2016 07:43:52,13,182,Subscriber,58824
99696,03/16/2016 09:56:26,20,03/17/2016 13:38:02,15,262,Customer,74553
168224,06/26/2016 09:33:42,21,06/28/2016 08:17:26,23,293,Subscriber,61431
64680,05/07/2016 17:51:30,7,05/08/2016 11:49:30,17,446,Subscriber,58531
44788,04/15/2016 07:22:56,13,04/15/2016 19:49:24,3,424,Subscriber,04490
127531,07/04/2016 19:45:05,18,07/06/2016 07:10:36,6,240,Customer,24479
95276,01/06/2017 07:22:40,24,01/07/2017 09:50:36,17,247,Customer,09135
133723,10/26/2016 23:08:21,10,10/28/2016 12:17:04,6,167,Subscriber,17970
67849,07/27/2016 13:07:44,5,07/28/2016 07:58:33,9,251,Customer,98884
131217,06/21/2016 13:57:42,17,06/23/2016 02:24:39,15,391,Subscriber,60994
41101,08/15/2016 19:22:55,21,08/16/2016 06:47:56,10,102,Customer,03765
32577,12/19/2016 02:07:06,20,12/19/2016 11:10:03,10,88,Subscriber,09536
22129,05/29/2016 19:42:12,11,05/30/2016 01:51:01,6,477,Subscriber,07690
147290,05/03/2016 07:08:27,8,05/05/2016 00:03:17,1,223,Subscriber,37555
168729,09/22/2016 07:53:24,17,09/24/2016 06:45:33,18,153,Subscriber,46726
143530,04/09/2016 19:26:52,9,04/11/2016 11:19:02,4,96,Customer,05188
167948,09/15/2016 18:21:28,24,09/17/2016 17:00:36,25,425,Customer,65118
118325,12/24/2016 04:13:10,12,12/25/2016 13:05:15,5,35,Customer,57466
100523,01/09/2017 14:48:33,22,01/10/2017 18:43:56,21,43,Subscriber,01090
39020,10/06/2016 13:52:00,6,10/07/2016 00:42:20,16,168,Customer,06869
95039,04/21/2016 20:02:46,23,04/22/2016 22:26:45,18,70,Subscriber,07399
169441,01/09/2017 00:49:49,3,01/10/2017 23:53:50,14,239,Customer,35469
146205,04/13/2016 01:53:53,22,04/14/2016 18:30:38,3,42,Customer,09133
17412,08/23/2016 04:04:32,24,08/23/2016 08:54:44,19,143,Subscriber,54295
100260,02/22/2016 23:08:34,10,02/24/2016 02:59:34,24,370,Customer,34351
61481,04/02/2016 22:01:30,5,04/03/2016 15:06:11,24,314,Customer,76456
143549,06/07/2016 14:17:05,10,06/09/2016 06:09:34,20,63,Customer,76255
123720,03/10/2016 19:47:56,21,03/12/2016 06:09:56,8,180,Subscriber,24482
